sim_id,condition,day,turn,role,action,food,price,unit_price,conflict_score,nbs_distance,buyer_money,buyer_food,seller_money,seller_food
1,A_Baseline,1,1,買い手,propose,400,200000,500.0,0.0,,1000000,200,0,1600
1,A_Baseline,1,2,売り手,propose,267,373800,1400.0,0.0,,1000000,200,0,1600
1,A_Baseline,1,3,買い手,propose,334,317300,950.0,0.0,,1000000,200,0,1600
1,A_Baseline,1,4,売り手,propose,300,352500,1175.0,0.0,,1000000,200,0,1600
1,A_Baseline,1,5,買い手,propose,317,336812,1062.5,0.0,,1000000,200,0,1600
1,A_Baseline,1,6,売り手,accept,317,336812,1062.5,0.0,0.10444649913020326,663188,517,336812,1283
1,A_Baseline,2,1,買い手,propose,400,200000,500.0,0.0,,663188,217,336812,1183
1,A_Baseline,2,2,売り手,propose,267,373800,1400.0,0.0,,663188,217,336812,1183
1,A_Baseline,2,3,買い手,propose,334,317300,950.0,0.0,,663188,217,336812,1183
1,A_Baseline,2,4,売り手,propose,300,352500,1175.0,0.0,,663188,217,336812,1183
1,A_Baseline,2,5,買い手,propose,317,336812,1062.5,0.0,,663188,217,336812,1183
1,A_Baseline,2,6,売り手,accept,317,336812,1062.5,0.0,0.10444649913020326,326376,534,673624,866
1,A_Baseline,3,1,買い手,propose,400,200000,500.0,0.0,,326376,234,673624,766
1,A_Baseline,3,2,売り手,propose,267,373800,1400.0,0.0,,326376,234,673624,766
1,A_Baseline,3,3,買い手,propose,334,317300,950.0,0.0,,326376,234,673624,766
1,A_Baseline,3,4,売り手,propose,300,352500,1175.0,0.0,,326376,234,673624,766
1,A_Baseline,3,5,買い手,propose,334,317300,950.0,0.0,,326376,234,673624,766
1,A_Baseline,3,6,売り手,accept,334,317300,950.0,0.0,0.19948718978643434,9076,568,990924,432
1,A_Baseline,4,1,買い手,propose,400,200000,500.0,0.0,,9076,268,990924,332
1,A_Baseline,4,2,売り手,propose,267,373800,1400.0,0.0,,9076,268,990924,332
1,A_Baseline,4,3,買い手,propose,334,317300,950.0,0.0,,9076,268,990924,332
1,A_Baseline,4,4,売り手,propose,300,352500,1175.0,0.0,,9076,268,990924,332
1,A_Baseline,4,5,買い手,propose,317,336812,1062.5,0.0,,9076,268,990924,332
1,A_Baseline,4,6,売り手,accept,317,336812,1062.5,0.0,0.10444649913020326,-327736,585,1327736,15
2,A_Baseline,1,1,買い手,propose,400,200000,500.0,0.0,,1000000,200,0,1600
2,A_Baseline,1,2,売り手,propose,267,373800,1400.0,0.0,,1000000,200,0,1600
2,A_Baseline,1,3,買い手,propose,334,317300,950.0,0.0,,1000000,200,0,1600
2,A_Baseline,1,4,売り手,propose,300,352500,1175.0,0.0,,1000000,200,0,1600
2,A_Baseline,1,5,買い手,propose,317,336812,1062.5,0.0,,1000000,200,0,1600
2,A_Baseline,1,6,売り手,accept,317,336812,1062.5,0.0,0.10444649913020326,663188,517,336812,1283
2,A_Baseline,2,1,買い手,propose,400,200000,500.0,0.0,,663188,217,336812,1183
2,A_Baseline,2,2,売り手,propose,267,373800,1400.0,0.0,,663188,217,336812,1183
2,A_Baseline,2,3,買い手,propose,334,317300,950.0,0.0,,663188,217,336812,1183
2,A_Baseline,2,4,売り手,propose,300,352500,1175.0,0.0,,663188,217,336812,1183
2,A_Baseline,2,5,買い手,propose,317,336812,1062.5,0.0,,663188,217,336812,1183
2,A_Baseline,2,6,売り手,accept,317,336812,1062.5,0.0,0.10444649913020326,326376,534,673624,866
2,A_Baseline,3,1,買い手,propose,400,200000,500.0,0.0,,326376,234,673624,766
2,A_Baseline,3,2,売り手,propose,267,373800,1400.0,0.0,,326376,234,673624,766
2,A_Baseline,3,3,買い手,propose,334,317300,950.0,0.0,,326376,234,673624,766
2,A_Baseline,3,4,売り手,propose,300,352500,1175.0,0.0,,326376,234,673624,766
2,A_Baseline,3,5,買い手,propose,334,317300,950.0,0.0,,326376,234,673624,766
2,A_Baseline,3,6,売り手,accept,334,317300,950.0,0.0,0.19948718978643434,9076,568,990924,432
2,A_Baseline,4,1,買い手,propose,400,200000,500.0,0.0,,9076,268,990924,332
2,A_Baseline,4,2,売り手,propose,267,373800,1400.0,0.0,,9076,268,990924,332
2,A_Baseline,4,3,買い手,propose,334,317300,950.0,0.0,,9076,268,990924,332
2,A_Baseline,4,4,売り手,propose,300,352500,1175.0,0.0,,9076,268,990924,332
2,A_Baseline,4,5,買い手,propose,317,336812,1062.5,0.0,,9076,268,990924,332
2,A_Baseline,4,6,売り手,accept,317,336812,1062.5,0.0,0.10444649913020326,-327736,585,1327736,15
3,A_Baseline,1,1,買い手,propose,400,200000,500.0,0.0,,1000000,200,0,1600
3,A_Baseline,1,2,売り手,propose,267,373800,1400.0,0.0,,1000000,200,0,1600
3,A_Baseline,1,3,買い手,propose,334,317300,950.0,0.0,,1000000,200,0,1600
3,A_Baseline,1,4,売り手,propose,300,352500,1175.0,0.0,,1000000,200,0,1600
3,A_Baseline,1,5,買い手,propose,317,336812,1062.5,0.0,,1000000,200,0,1600
3,A_Baseline,1,6,売り手,accept,317,336812,1062.5,0.0,0.10444649913020326,663188,517,336812,1283
3,A_Baseline,2,1,買い手,propose,400,200000,500.0,0.0,,663188,217,336812,1183
3,A_Baseline,2,2,売り手,propose,200,360000,1800.0,0.0,,663188,217,336812,1183
3,A_Baseline,2,3,買い手,propose,300,345000,1150.0,0.0,,663188,217,336812,1183
3,A_Baseline,2,4,売り手,accept,300,345000,1150.0,0.0,0.11851218877773247,318188,517,681812,883
3,A_Baseline,3,1,買い手,propose,400,200000,500.0,0.0,,318188,217,681812,783
3,A_Baseline,3,2,売り手,propose,200,360000,1800.0,0.0,,318188,217,681812,783
3,A_Baseline,3,3,買い手,propose,400,200000,500.0,0.0,,318188,217,681812,783
3,A_Baseline,3,4,売り手,propose,300,345000,1150.0,0.0,,318188,217,681812,783
3,A_Baseline,3,5,買い手,propose,350,288750,825.0,0.0,,318188,217,681812,783
3,A_Baseline,3,6,売り手,accept,350,288750,825.0,0.0,0.32275533604333245,29438,567,970562,433
3,A_Baseline,4,1,買い手,propose,400,200000,500.0,0.0,,29438,267,970562,333
3,A_Baseline,4,2,売り手,propose,267,373800,1400.0,0.0,,29438,267,970562,333
3,A_Baseline,4,3,買い手,propose,334,317300,950.0,0.0,,29438,267,970562,333
3,A_Baseline,4,4,売り手,propose,300,352500,1175.0,0.0,,29438,267,970562,333
3,A_Baseline,4,5,買い手,propose,317,336812,1062.5,0.0,,29438,267,970562,333
3,A_Baseline,4,6,売り手,accept,317,336812,1062.5,0.0,0.10444649913020326,-307374,584,1307374,16
4,A_Baseline,1,1,買い手,propose,400,200000,500.0,0.0,,1000000,200,0,1600
4,A_Baseline,1,2,売り手,propose,267,373800,1400.0,0.0,,1000000,200,0,1600
4,A_Baseline,1,3,買い手,propose,334,317300,950.0,0.0,,1000000,200,0,1600
4,A_Baseline,1,4,売り手,propose,300,352500,1175.0,0.0,,1000000,200,0,1600
4,A_Baseline,1,5,買い手,propose,317,336812,1062.5,0.0,,1000000,200,0,1600
4,A_Baseline,1,6,売り手,accept,317,336812,1062.5,0.0,0.10444649913020326,663188,517,336812,1283
4,A_Baseline,2,1,買い手,propose,400,200000,500.0,0.0,,663188,217,336812,1183
4,A_Baseline,2,2,売り手,propose,267,373800,1400.0,0.0,,663188,217,336812,1183
4,A_Baseline,2,3,買い手,propose,334,317300,950.0,0.0,,663188,217,336812,1183
4,A_Baseline,2,4,売り手,propose,300,352500,1175.0,0.0,,663188,217,336812,1183
4,A_Baseline,2,5,買い手,propose,317,336812,1062.5,0.0,,663188,217,336812,1183
4,A_Baseline,2,6,売り手,accept,317,336812,1062.5,0.0,0.10444649913020326,326376,534,673624,866
4,A_Baseline,3,1,買い手,propose,400,200000,500.0,0.0,,326376,234,673624,766
4,A_Baseline,3,2,売り手,propose,267,373800,1400.0,0.0,,326376,234,673624,766
4,A_Baseline,3,3,買い手,propose,334,317300,950.0,0.0,,326376,234,673624,766
4,A_Baseline,3,4,売り手,propose,300,352500,1175.0,0.0,,326376,234,673624,766
4,A_Baseline,3,5,買い手,propose,334,317300,950.0,0.0,,326376,234,673624,766
4,A_Baseline,3,6,売り手,accept,334,317300,950.0,0.0,0.19948718978643434,9076,568,990924,432
4,A_Baseline,4,1,買い手,propose,400,200000,500.0,0.0,,9076,268,990924,332
4,A_Baseline,4,2,売り手,propose,267,373800,1400.0,0.0,,9076,268,990924,332
4,A_Baseline,4,3,買い手,propose,334,317300,950.0,0.0,,9076,268,990924,332
4,A_Baseline,4,4,売り手,propose,300,352500,1175.0,0.0,,9076,268,990924,332
4,A_Baseline,4,5,買い手,propose,317,336812,1062.5,0.0,,9076,268,990924,332
4,A_Baseline,4,6,売り手,accept,317,336812,1062.5,0.0,0.10444649913020326,-327736,585,1327736,15
5,A_Baseline,1,1,買い手,propose,400,200000,500.0,0.0,,1000000,200,0,1600
5,A_Baseline,1,2,売り手,propose,267,373800,1400.0,0.0,,1000000,200,0,1600
5,A_Baseline,1,3,買い手,propose,334,317300,950.0,0.0,,1000000,200,0,1600
5,A_Baseline,1,4,売り手,propose,300,352500,1175.0,0.0,,1000000,200,0,1600
5,A_Baseline,1,5,買い手,propose,317,336812,1062.5,0.0,,1000000,200,0,1600
5,A_Baseline,1,6,売り手,accept,317,336812,1062.5,0.0,0.10444649913020326,663188,517,336812,1283
5,A_Baseline,2,1,買い手,propose,400,200000,500.0,0.0,,663188,217,336812,1183
5,A_Baseline,2,2,売り手,propose,267,373800,1400.0,0.0,,663188,217,336812,1183
5,A_Baseline,2,3,買い手,propose,334,317300,950.0,0.0,,663188,217,336812,1183
5,A_Baseline,2,4,売り手,propose,300,352500,1175.0,0.0,,663188,217,336812,1183
5,A_Baseline,2,5,買い手,propose,317,336812,1062.5,0.0,,663188,217,336812,1183
5,A_Baseline,2,6,売り手,accept,317,336812,1062.5,0.0,0.10444649913020326,326376,534,673624,866
5,A_Baseline,3,1,買い手,propose,400,200000,500.0,0.0,,326376,234,673624,766
5,A_Baseline,3,2,売り手,propose,267,373800,1400.0,0.0,,326376,234,673624,766
5,A_Baseline,3,3,買い手,propose,334,317300,950.0,0.0,,326376,234,673624,766
5,A_Baseline,3,4,売り手,propose,300,352500,1175.0,0.0,,326376,234,673624,766
5,A_Baseline,3,5,買い手,propose,334,317300,950.0,0.0,,326376,234,673624,766
5,A_Baseline,3,6,売り手,accept,334,317300,950.0,0.0,0.19948718978643434,9076,568,990924,432
5,A_Baseline,4,1,買い手,propose,400,200000,500.0,0.0,,9076,268,990924,332
5,A_Baseline,4,2,売り手,propose,267,373800,1400.0,0.0,,9076,268,990924,332
5,A_Baseline,4,3,買い手,propose,334,317300,950.0,0.0,,9076,268,990924,332
5,A_Baseline,4,4,売り手,propose,300,352500,1175.0,0.0,,9076,268,990924,332
6,A_Baseline,1,1,買い手,propose,400,200000,500.0,0.0,,1000000,200,0,1600
6,A_Baseline,1,2,売り手,propose,267,373800,1400.0,0.0,,1000000,200,0,1600
6,A_Baseline,1,3,買い手,propose,334,317300,950.0,0.0,,1000000,200,0,1600
6,A_Baseline,1,4,売り手,propose,300,352500,1175.0,0.0,,1000000,200,0,1600
6,A_Baseline,1,5,買い手,propose,317,336812,1062.5,0.0,,1000000,200,0,1600
6,A_Baseline,1,6,売り手,accept,317,336812,1062.5,0.0,0.10444649913020326,663188,517,336812,1283
6,A_Baseline,2,1,買い手,propose,400,200000,500.0,0.0,,663188,217,336812,1183
6,A_Baseline,2,2,売り手,propose,200,360000,1800.0,0.0,,663188,217,336812,1183
6,A_Baseline,2,3,買い手,propose,300,345000,1150.0,0.0,,663188,217,336812,1183
6,A_Baseline,2,4,売り手,propose,250,368750,1475.0,0.0,,663188,217,336812,1183
6,A_Baseline,2,5,買い手,propose,275,360938,1312.5,0.0,,663188,217,336812,1183
6,A_Baseline,2,6,売り手,accept,275,360938,1312.5,0.0,0.27670125599542267,302250,492,697750,908
6,A_Baseline,3,1,買い手,propose,400,200000,500.0,0.0,,302250,192,697750,808
6,A_Baseline,3,2,売り手,propose,267,373800,1400.0,0.0,,302250,192,697750,808
6,A_Baseline,3,3,買い手,propose,400,200000,500.0,0.0,,302250,192,697750,808
6,A_Baseline,3,4,売り手,propose,333,333000,1000.0,0.0,,302250,192,697750,808
6,A_Baseline,3,5,買い手,propose,366,274500,750.0,0.0,,302250,192,697750,808
6,A_Baseline,3,6,売り手,accept,366,274500,750.0,0.0,0.424579039886699,27750,558,972250,442
6,A_Baseline,4,1,買い手,propose,375,281250,750.0,0.0,,27750,258,972250,342
6,A_Baseline,4,2,売り手,propose,288,367200,1275.0,0.0,,27750,258,972250,342
6,A_Baseline,4,3,買い手,propose,332,336150,1012.5,0.0,,27750,258,972250,342
6,A_Baseline,4,4,売り手,propose,310,354578,1143.8,0.0,,27750,258,972250,342
7,A_Baseline,1,1,買い手,propose,400,200000,500.0,0.0,,1000000,200,0,1600
7,A_Baseline,1,2,売り手,propose,300,345000,1150.0,0.0,,1000000,200,0,1600
7,A_Baseline,1,3,買い手,propose,350,288750,825.0,0.0,,1000000,200,0,1600
7,A_Baseline,1,4,売り手,propose,333,333000,1000.0,0.0,,1000000,200,0,1600
7,A_Baseline,1,5,買い手,accept,333,333000,1000.0,0.0,0.17140149422400677,667000,533,333000,1267
7,A_Baseline,2,1,買い手,propose,400,200000,500.0,0.0,,667000,233,333000,1167
7,A_Baseline,2,2,売り手,propose,267,373800,1400.0,0.0,,667000,233,333000,1167
7,A_Baseline,2,3,買い手,propose,325,406250,1250.0,0.0,,667000,233,333000,1167
7,A_Baseline,2,4,売り手,propose,296,392200,1325.0,0.0,,667000,233,333000,1167
7,A_Baseline,2,5,買い手,propose,310,399125,1287.5,0.0,,667000,233,333000,1167
7,A_Baseline,2,6,売り手,accept,310,399125,1287.5,0.0,0.1296739032363704,267875,543,732125,857
7,A_Baseline,3,1,買い手,propose,400,200000,500.0,0.0,,267875,243,732125,757
7,A_Baseline,3,2,売り手,propose,200,360000,1800.0,0.0,,267875,243,732125,757
7,A_Baseline,3,3,買い手,propose,400,200000,500.0,0.0,,267875,243,732125,757
7,A_Baseline,3,4,売り手,propose,300,345000,1150.0,0.0,,267875,243,732125,757
7,A_Baseline,3,5,買い手,propose,400,200000,500.0,0.0,,267875,243,732125,757
7,A_Baseline,3,6,売り手,propose,400,240000,600.0,0.0,,267875,243,732125,757
8,A_Baseline,1,1,買い手,propose,400,200000,500.0,0.0,,1000000,200,0,1600
8,A_Baseline,1,2,売り手,propose,267,373800,1400.0,0.0,,1000000,200,0,1600
8,A_Baseline,1,3,買い手,propose,334,317300,950.0,0.0,,1000000,200,0,1600
8,A_Baseline,1,4,売り手,propose,300,352500,1175.0,0.0,,1000000,200,0,1600
8,A_Baseline,1,5,買い手,propose,317,336812,1062.5,0.0,,1000000,200,0,1600
8,A_Baseline,1,6,売り手,accept,317,336812,1062.5,0.0,0.10444649913020326,663188,517,336812,1283
8,A_Baseline,2,1,買い手,propose,400,200000,500.0,0.0,,663188,217,336812,1183
8,A_Baseline,2,2,売り手,propose,267,373800,1400.0,0.0,,663188,217,336812,1183
8,A_Baseline,2,3,買い手,propose,334,317300,950.0,0.0,,663188,217,336812,1183
8,A_Baseline,2,4,売り手,propose,300,352500,1175.0,0.0,,663188,217,336812,1183
8,A_Baseline,2,5,買い手,propose,317,336812,1062.5,0.0,,663188,217,336812,1183
8,A_Baseline,2,6,売り手,accept,317,336812,1062.5,0.0,0.10444649913020326,326376,534,673624,866
8,A_Baseline,3,1,買い手,propose,400,200000,500.0,0.0,,326376,234,673624,766
8,A_Baseline,3,2,売り手,propose,267,373800,1400.0,0.0,,326376,234,673624,766
8,A_Baseline,3,3,買い手,propose,334,317300,950.0,0.0,,326376,234,673624,766
8,A_Baseline,3,4,売り手,propose,300,352500,1175.0,0.0,,326376,234,673624,766
8,A_Baseline,3,5,買い手,propose,334,317300,950.0,0.0,,326376,234,673624,766
8,A_Baseline,3,6,売り手,accept,334,317300,950.0,0.0,0.19948718978643434,9076,568,990924,432
8,A_Baseline,4,1,買い手,propose,400,200000,500.0,0.0,,9076,268,990924,332
8,A_Baseline,4,2,売り手,propose,267,373800,1400.0,0.0,,9076,268,990924,332
8,A_Baseline,4,3,買い手,propose,334,317300,950.0,0.0,,9076,268,990924,332
8,A_Baseline,4,4,売り手,propose,300,352500,1175.0,0.0,,9076,268,990924,332
8,A_Baseline,4,5,買い手,propose,317,336812,1062.5,0.0,,9076,268,990924,332
8,A_Baseline,4,6,売り手,accept,317,336812,1062.5,0.0,0.10444649913020326,-327736,585,1327736,15
9,A_Baseline,1,1,買い手,propose,400,200000,500.0,0.0,,1000000,200,0,1600
